instrument,tier,solexs_start,solexs_peak,solexs_stop,solexs_peak_flux,goes_class,goes_letter,duration_min,impulsive,baseline_flux,enhancement,goes_match,goes_class_official,goes_peak_official,peak_time_error_min,neupert_lead_min,deriv_peak_time,hel1os_detected,hel1os_peak,hel1os_peak_flux,hel1os_lead_min,dual_confirmed,source,nci,impulsive_duration_s
SoLEXS,B,2024-10-09 21:13:31.000663,2024-10-09 21:16:46.000663,2024-10-09 21:21:28.000663,0.0003655241990456715,X3.7,X,22.266666666666666,True,3.124676209952284e-06,116.9798643076856,True,X3.4,2024-10-09 21:16:00,0.7666777166666667,1.7666666666666666,2024-10-09 21:15:00.000663,False,,,,False,SoLEXS-only,0.9826464542393532,196.0
SoLEXS,B,2024-10-10 01:38:54.000663,2024-10-10 01:43:17.000663,2024-10-10 01:50:35.000663,1.1096114519427404e-05,M1.1,M,12.4,True,2.8697341513292435e-06,3.86660015677332,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-10 04:34:43.000663,2024-10-10 04:41:05.000663,2024-10-10 04:48:11.000663,0.00020396523517382412,X2.0,X,28.2,True,5.472324471710975e-06,37.272138417269765,True,X2.1,2024-10-10 04:42:00,-0.9166556166666666,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-10 17:21:51.000663,2024-10-10 17:28:56.000663,2024-10-10 17:49:25.000663,2.8788684389911384e-05,M2.9,M,27.583333333333332,True,4.6435582822085895e-06,6.1997034688275265,True,M2.9,2024-10-10 17:28:00,0.9333443833333334,6.366666666666666,2024-10-10 17:22:34.000663,False,,,,False,SoLEXS-only,0.8573078595967676,426.0
SoLEXS,B,2024-10-10 20:06:47.000663,2024-10-10 20:09:58.000663,2024-10-10 20:15:13.000663,1.3042944785276074e-05,M1.3,M,9.65,True,3.902931152010906e-06,3.341833170322761,False,,,,2.1666666666666665,2024-10-10 20:07:48.000663,False,,,,False,SoLEXS-only,0.8846990979259899,192.0
SoLEXS,B,2024-10-10 22:25:44.000663,2024-10-10 22:30:04.000663,2024-10-10 22:39:44.000663,2.2951601908657123e-05,M2.3,M,17.3,True,4.365985003408317e-06,5.256912676232259,False,,,,2.7666666666666666,2024-10-10 22:27:18.000663,False,,,,False,SoLEXS-only,0.942661833125636,261.0
SoLEXS,B,2024-10-11 02:33:58.000663,2024-10-11 02:54:54.000663,2024-10-11 03:00:21.000663,1.016359918200409e-05,M1.0,M,26.4,True,3.6788684389911384e-06,2.7626971038929757,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-11 03:34:10.000663,2024-10-11 03:57:27.000663,2024-10-11 04:08:39.000663,8.706134969325154e-05,M8.7,M,34.5,True,1.7508316291751876e-05,4.9725712194419245,True,M8.6,2024-10-11 03:58:00,-0.5499889499999999,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,A,2024-10-11 08:55:32.000663,2024-10-11 09:02:48.000663,2024-10-11 09:13:07.000663,6.414451261077029e-06,C6.4,C,23.083333333333332,True,1.430811179277437e-06,4.483087184373511,False,,,,5.983333333333333,2024-10-11 08:56:49.000663,False,,,,False,SoLEXS-only,0.8083322049759551,437.0
SoLEXS,A,2024-10-11 15:46:47.000663,2024-10-11 15:49:18.000663,2024-10-11 15:53:08.000663,6.029993183367417e-06,C6.0,C,8.516666666666667,True,1.4825494205862303e-06,4.067313439698378,False,,,,2.216666666666667,2024-10-11 15:47:05.000663,False,,,,False,SoLEXS-only,0.8914878335485523,152.0
SoLEXS,A,2024-10-11 19:27:17.000663,2024-10-11 19:31:31.000663,2024-10-11 19:37:31.000663,6.1963190184049085e-06,C6.2,C,10.25,True,2.078323108384458e-06,2.9814031289973433,False,,,,4.1,2024-10-11 19:27:25.000663,False,,,,False,SoLEXS-only,0.8194413219343216,255.0
SoLEXS,B,2024-10-11 21:23:18.000663,2024-10-11 21:53:33.000663,2024-10-11 21:55:57.000663,5.278663940013634e-05,M5.3,M,32.666666666666664,True,1.3526516700749831e-05,3.9024562322989005,False,,,,26.766666666666666,2024-10-11 21:26:47.000663,False,,,,False,SoLEXS-only,0.7368004491848795,1816.0
